Album;Rok;Médium;Číslo;Název skladby;Autor hudby;Autor textu;Vydavatelství;Poznámka
Greenhorns '71;1971;LP;12;Lodní zvon zvoní;Hank Williams;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Greenhorns '72;1972;LP;1;Šest dní na silnici;E. Green;M. Hoffmann;Panton;produkce: Vyčítal
Greenhorns '72;1972;LP;2;Šlapej dál;C. Williams;J. Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Greenhorns '72;1972;LP;3;Na Vánoce ráno;traditional;J. Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Greenhorns '72;1972;LP;4;Je všechno O.K.;H. Williams;P. Novotný;Panton;produkce: Vyčítal
Greenhorns '72;1972;LP;5;Značkovací železo;Franks-Houston;J. Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Greenhorns '72;1972;LP;6;Tak já jdu dál;R. Dillard;J. Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Greenhorns '72;1972;LP;7;Neváhej;Mills-Friend;M. Hoffmann;Panton;produkce: Vyčítal
Greenhorns '72;1972;LP;8;Vlak v 0.5;T. J. Arnall;J. Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Greenhorns '72;1972;LP;9;El Paso;M. Robbins;J. Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Greenhorns '72;1972;LP;10;Modlitba;J. R. Wills;;Panton;produkce: Vyčítal
Greenhorns '72;1972;LP;11;Blues hvízdavého vlaku;J. Rodgers;M. Hoffmann;Panton;produkce: Vyčítal
Greenhorns '72;1972;LP;12;Poslední sklenka;traditional;M. Hoffmann;Panton;produkce: Vyčítal
Greenhorns '72;1972;LP;13;Toulavej song;J. Hartford;J. Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Greenhorns '72;1972;LP;14;Divnej smích;S. Wooley;M. Hoffmann;Panton;produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;1;Vlak na Flint Hill;E. Scruggs;;Panton;produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;2;A slunce pálí jen;R. Miller;Mirek Hoffmann;Panton;produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;3;Cizinec;traditional;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;4;Bílej sníh;M. Phillips;Mirek Hoffmann;Panton;produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;5;Hromskej den;J. Leiber, M. Stoller;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;6;Holky jdou;B. Owens;Petr Novotný;Panton;produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;7;Řekněte jí;H. Halsey;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;8;Rok 1849;traditional;J. Pokorný;Panton;produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;9;Už tě vlak přiváží;B. S. Perry;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;10;Hej, Joe;traditional;Mirek Hoffmann;Panton;produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;11;Michalův song;Tom T. Hall;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;12;Honzův song;G. Mack;Petr Novotný;Panton;produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;13;Step hoří;traditional;;Panton;produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;14;Sněžnej muž;R. Jones;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;15;Casey Jones;traditional;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;16;Blues líného spřežení;J. Rodgers;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;17;Jižní vítr;J. Cash;Mirek Hoffmann;Panton;produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;18;Oči pálí a silnice je jak klín černej;traditional;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;19;Vlak má zelenou;traditional;Mirek Hoffmann;Panton;produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;20;Oranžový expres;E. T. Rouse;;Panton;produkce: Vyčítal
Hromskej den Zeleňáčů;1973;2LP;21;Bída s nouzí;M. Haggard;Mirek Hoffmann;Panton;produkce: Vyčítal
Písně Větru z Hor;1974;LP;1;Banjo z Mlžných hor;E. Scruggs;;Panton;produkce: Vyčítal
Písně Větru z Hor;1974;LP;2;Zpívám písně větru z hor;D. Feller;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Písně Větru z Hor;1974;LP;3;Odvolejte kněze;M. Robbins;Mirek Hoffmann;Panton;produkce: Vyčítal
Písně Větru z Hor;1974;LP;4;Rychlík;J. Foster;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Písně Větru z Hor;1974;LP;5;Bílá kytka;A. P. Carter;Mirek Hoffmann;Panton;produkce: Vyčítal
Písně Větru z Hor;1974;LP;6;Balada o Ira Hayesovi;La Farge;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Písně Větru z Hor;1974;LP;7;Lousie;traditional;arr. Petr Bryndáč;Panton;produkce: Vyčítal
Písně Větru z Hor;1974;LP;8;Duel;E. Weisberg;;Panton;produkce: Vyčítal
Písně Větru z Hor;1974;LP;9;Feleena z El Pasa;M. Robbins;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Písně Větru z Hor;1974;LP;10;Jižní vlak;D. Watson;Mirek Hoffmann;Panton;produkce: Vyčítal
Písně Větru z Hor;1974;LP;11;Jarní zpráva;B. E. Wheeler;Tomáš Linka;Panton;produkce: Vyčítal
Písně Větru z Hor;1974;LP;12;Ještě je čas;K. Kristofferson;Jan Vyčítal;Panton;text: Vyčítal, produkce: Vyčítal
Písně Větru z Hor;1974;LP;13;Bluegrassový part č. 1;B. Monroe;;Panton;produkce: Vyčítal
Silnice, Řeky, Tratě a Stezky;1976;LP;1;Historie téhle káry;Jimmy Dean, Nita Lynn;Petr Novotný;Panton;
Silnice, Řeky, Tratě a Stezky;1976;LP;2;Matčiny růže;Billy Joe Shaver;Miroslav Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;LP;3;Černá a bílá noc;Ernest Tubb, Johnny Bond;Miroslav Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;LP;4;Čekání;Miroslav Hoffmann;Miroslav Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;LP;5;Banjo má pět strun;Josef Šimek;;Panton;
Silnice, Řeky, Tratě a Stezky;1976;LP;6;Vltavská marina;Marko Čermák;Marko Čermák;Panton;
Silnice, Řeky, Tratě a Stezky;1976;LP;7;Netoužím po lustrech z křišťálu;Jack Wesley Routh;Miroslav Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;LP;8;Poslední rallye;Marty Robbins;Miroslav Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;LP;9;Dívka s vlasem medovým;Tom T. Hall;Miroslav Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;LP;10;Dálnice;Petr Bryndáč;;Panton;
Silnice, Řeky, Tratě a Stezky;1976;LP;11;Táta můj mi říkal;Petr Bryndáč, Miroslav Hoffmann;Miroslav Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;LP;12;Boty po strýci;Bob Dylan;Miroslav Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;LP;13;Kdosi mě ruší;Anne Young;Miroslav Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;LP;14;Království za koně;Felice Bryant;Miroslav Hoffmann;Panton;
Řidič tvrdý chleba má;1979;LP;1;Řidič tvrdý chleba má;Tom T. Hall, Dave Dudley;Michal Bukovič, Jan Vyčítal;Panton;text: Vyčítal, cover: Vyčítal
Řidič tvrdý chleba má;1979;LP;2;Blues prázdného motelu;Tom T. Hall;Jan Vyčítal;Panton;text: Vyčítal, cover: Vyčítal
Řidič tvrdý chleba má;1979;LP;3;Cítím vůni vlasů tvých;Kris Kristofferson;Jan Vyčítal;Panton;text: Vyčítal, cover: Vyčítal
Řidič tvrdý chleba má;1979;LP;4;Psí píseň;Marko Čermák;Marko Čermák;Panton;cover: Vyčítal
Řidič tvrdý chleba má;1979;LP;5;Dívka, co se smála jak Chaplínův Kid;Pavel Skalický;Jan Vyčítal;Panton;text: Vyčítal, cover: Vyčítal
Řidič tvrdý chleba má;1979;LP;6;Cadillac;Wayne Kemp;Jan Vyčítal;Panton;text: Vyčítal, cover: Vyčítal
Řidič tvrdý chleba má;1979;LP;7;Dělová koule;Floyd Jenkins;;Panton;cover: Vyčítal
Řidič tvrdý chleba má;1979;LP;8;Toulám se zas dál;Pavel Skalický;Jan Vyčítal;Panton;text: Vyčítal, cover: Vyčítal
Řidič tvrdý chleba má;1979;LP;9;Zbyl mi jen tvůj mokasín;Petr Bryndáč;Jan Vyčítal;Panton;text: Vyčítal, cover: Vyčítal
Řidič tvrdý chleba má;1979;LP;10;Fidlací song;Tom T. Hall;Jan Vyčítal;Panton;text: Vyčítal, cover: Vyčítal
Řidič tvrdý chleba má;1979;LP;11;To jen babí léto;Mirek Hoffmann;Mirek Hoffmann;Panton;cover: Vyčítal
Řidič tvrdý chleba má;1979;LP;12;Rozmarná kráska;Marko Čermák;Marko Čermák;Panton;cover: Vyčítal
Řidič tvrdý chleba má;1979;LP;13;Jó, to byl den;Johnny Cash;Mirek Hoffmann;Panton;cover: Vyčítal
